ano,codigo_orgao,orgao_orcamentario,co_funcao,funcao,projeto_de_lei,dotacao_inicial,dotacao_atual,empenhado,liquidado,pago
2018,52000,Ministério da Defesa,05,Defesa Nacional,71.52,73.29,76.57,76.64,71.33,67.23
2018,52000,Ministério da Defesa,09,Previdência Social,23.48,23.48,24.04,23.88,23.88,22.09
2018,52000,Ministério da Defesa,28,Encargos Especiais,2.67,2.67,2.69,2.41,2.41,2.37
2018,52000,Ministério da Defesa,99,Reserva de Contingência,1.22,1.22,1.22,0,0,0
2018,53000,Ministério da Integração e do Desenvolvimento Regional,04,Administração,1.21,1.17,1.16,1.08,0.97,0.92
2018,53000,Ministério da Integração e do Desenvolvimento Regional,06,Segurança Pública,1.42,0.45,1.44,1.43,0.74,0.73
2018,53000,Ministério da Integração e do Desenvolvimento Regional,09,Previdência Social,0.55,0.55,0.56,0.56,0.56,0.52
2018,53000,Ministério da Integração e do Desenvolvimento Regional,11,Trabalho,0,0,0,0,0,0
2018,53000,Ministério da Integração e do Desenvolvimento Regional,15,Urbanismo,0,1.18,1.02,1,0.12,0.08
2018,53000,Ministério da Integração e do Desenvolvimento Regional,17,Saneamento,0.07,0.06,0.06,0.06,0.01,0.01
2018,53000,Ministério da Integração e do Desenvolvimento Regional,18,Gestão Ambiental,2.01,2.69,2.15,1.98,1.25,1.12
2018,53000,Ministério da Integração e do Desenvolvimento Regional,19,Ciência e Tecnologia,0,0.25,0.25,0.25,0,0
2018,53000,Ministério da Integração e do Desenvolvimento Regional,20,Agricultura,0.15,0.28,0.59,0.58,0.1,0.1
2018,53000,Ministério da Integração e do Desenvolvimento Regional,22,Indústria,0,0,0,0,0,0
2018,53000,Ministério da Integração e do Desenvolvimento Regional,26,Transporte,0,0,0,0,0,0
2018,53000,Ministério da Integração e do Desenvolvimento Regional,28,Encargos Especiais,0.03,0.03,0.06,0.06,0.06,0.06
2018,53000,Ministério da Integração e do Desenvolvimento Regional,99,Reserva de Contingência,0,0,0,0,0,0
2018,54000,Ministério do Turismo,09,Previdência Social,0.02,0.02,0.02,0.02,0.02,0.02
2018,54000,Ministério do Turismo,23,Comércio e Serviços,0.57,1.08,1.22,1.2,0.22,0.21
2018,54000,Ministério do Turismo,28,Encargos Especiais,0,0,0,0,0,0
